V,timestamps
-5.8984375,0.007200000000000001
-5.84747314453125,0.0073
-5.94879150390625,0.0074
-5.96893310546875,0.007500000000000001
-5.68206787109375,0.0076
-5.90423583984375,0.0077
-5.76141357421875,0.0078000000000000005
-5.755615234375,0.0079
-5.82977294921875,0.008
-5.82122802734375,0.0081
-5.701904296875,0.0082
-5.76080322265625,0.0083
-5.8331298828125,0.008400000000000001
-5.5889892578125,0.0085
-5.58868408203125,0.0086
-5.6329345703125,0.008700000000000001
-5.47760009765625,0.0088
-5.54718017578125,0.0089
-5.58349609375,0.009000000000000001
-5.57373046875,0.0091
-5.49774169921875,0.0092
-5.4266357421875,0.009300000000000001
-5.32989501953125,0.0094
-5.380859375,0.0095
-5.73272705078125,0.009600000000000001
-5.5389404296875,0.0097
-5.55206298828125,0.0098
-5.35247802734375,0.0099
-5.4840087890625,0.01
-5.52154541015625,0.010100000000000001
-5.15167236328125,0.0102
-5.438232421875,0.0103
-5.3863525390625,0.010400000000000001
-5.26123046875,0.0105
-5.5047607421875,0.0106
-5.26947021484375,0.010700000000000001
-5.4632568359375,0.0108
-5.22430419921875,0.0109
-5.29937744140625,0.011000000000000001
-5.15167236328125,0.0111
-5.0177001953125,0.0112
-5.1922607421875,0.011300000000000001
-5.23223876953125,0.0114
-5.2947998046875,0.0115
-5.140380859375,0.011600000000000001
-5.27313232421875,0.0117
-5.2996826171875,0.0118
-5.00701904296875,0.0119
-5.26092529296875,0.012
-5.18951416015625,0.012100000000000001
-4.98992919921875,0.0122
-5.26702880859375,0.0123
-5.2374267578125,0.012400000000000001
-5.15045166015625,0.0125
-4.89715576171875,0.0126
-5.096435546875,0.012700000000000001
-5.1605224609375,0.0128
-5.08544921875,0.0129
-5.25238037109375,0.013000000000000001
-5.0732421875,0.0131
-5.0360107421875,0.0132
-5.0823974609375,0.013300000000000001
-4.9639892578125,0.0134
-5.00274658203125,0.0135
-5.2423095703125,0.013600000000000001
-5.042724609375,0.0137
-5.05340576171875,0.013800000000000002
-4.99481201171875,0.013900000000000001
-5.19622802734375,0.014
-5.05859375,0.014100000000000001
-5.11199951171875,0.0142
-5.0933837890625,0.0143
-4.901123046875,0.014400000000000001
-5.003662109375,0.0145
-5.04547119140625,0.0146
-5.08575439453125,0.014700000000000001
-4.98809814453125,0.0148
-5.1513671875,0.0149
-5.12786865234375,0.015000000000000001
-5.0738525390625,0.0151
-5.18310546875,0.0152
-5.1092529296875,0.015300000000000001
-5.19256591796875,0.0154
-4.95819091796875,0.0155
-5.11688232421875,0.015600000000000001
-5.08514404296875,0.015700000000000002
-5.2459716796875,0.0158
-5.19683837890625,0.0159
-5.17791748046875,0.016
-5.13763427734375,0.0161
-5.17822265625,0.0162
-5.21575927734375,0.016300000000000002
-5.3814697265625,0.0164
-5.0299072265625,0.0165
-5.0830078125,0.0166
-5.24017333984375,0.0167
-5.184326171875,0.016800000000000002
-5.2410888671875,0.016900000000000002
-5.25238037109375,0.017
-5.364990234375,0.0171
-5.39520263671875,0.0172
-5.29144287109375,0.0173
-5.284423828125,0.017400000000000002
-5.25177001953125,0.0175
-5.23773193359375,0.0176
